Year,Expenditures
2010-12-31,397000000000.0
2011-01-31,399250000000.0
2011-02-28,401500000000.0
2011-03-31,403750000000.0
2011-04-30,406000000000.0
2011-05-31,408250000000.0
2011-06-30,410500000000.0
2011-07-31,412750000000.0
2011-08-31,415000000000.0
2011-09-30,417250000000.0
2011-10-31,419500000000.0
2011-11-30,421750000000.0
2011-12-31,424000000000.0
2012-01-31,424416666666.6667
2012-02-29,424833333333.3333
2012-03-31,425250000000.0
2012-04-30,425666666666.6667
2012-05-31,426083333333.3333
2012-06-30,426500000000.0
2012-07-31,426916666666.6667
2012-08-31,427333333333.3333
2012-09-30,427750000000.0
2012-10-31,428166666666.6667
2012-11-30,428583333333.3333
2012-12-31,429000000000.0
2013-01-31,431000000000.0
2013-02-28,433000000000.0
2013-03-31,435000000000.0
2013-04-30,437000000000.0
2013-05-31,439000000000.0
2013-06-30,441000000000.0
2013-07-31,443000000000.0
2013-08-31,445000000000.0
2013-09-30,447000000000.0
2013-10-31,449000000000.0
2013-11-30,451000000000.0
2013-12-31,453000000000.0
2014-01-31,455916666666.6667
2014-02-28,458833333333.3333
2014-03-31,461750000000.0
2014-04-30,464666666666.6667
2014-05-31,467583333333.3333
2014-06-30,470500000000.0
2014-07-31,473416666666.6667
2014-08-31,476333333333.3333
2014-09-30,479250000000.0
2014-10-31,482166666666.6667
2014-11-30,485083333333.3333
2014-12-31,488000000000.0
2015-01-31,493000000000.0
2015-02-28,498000000000.0
2015-03-31,503000000000.0
2015-04-30,508000000000.0
2015-05-31,513000000000.0
2015-06-30,518000000000.0
2015-07-31,523000000000.0
2015-08-31,528000000000.0
2015-09-30,533000000000.0
2015-10-31,538000000000.0
2015-11-30,543000000000.0
2015-12-31,548000000000.0
2016-01-31,549916666666.6666
2016-02-29,551833333333.3334
2016-03-31,553750000000.0
2016-04-30,555666666666.6666
2016-05-31,557583333333.3334
2016-06-30,559500000000.0
2016-07-31,561416666666.6666
2016-08-31,563333333333.3334
2016-09-30,565250000000.0
2016-10-31,567166666666.6666
2016-11-30,569083333333.3334
2016-12-31,571000000000.0
2017-01-31,573083333333.3334
2017-02-28,575166666666.6666
2017-03-31,577250000000.0
2017-04-30,579333333333.3334
2017-05-31,581416666666.6666
2017-06-30,583500000000.0
2017-07-31,585583333333.3334
2017-08-31,587666666666.6666
2017-09-30,589750000000.0
2017-10-31,591833333333.3334
2017-11-30,593916666666.6666
2017-12-31,596000000000.0
2018-01-31,597333333333.3334
2018-02-28,598666666666.6666
2018-03-31,600000000000.0
2018-04-30,601333333333.3334
2018-05-31,602666666666.6666
2018-06-30,604000000000.0
2018-07-31,605333333333.3334
2018-08-31,606666666666.6666
2018-09-30,608000000000.0
2018-10-31,609333333333.3334
2018-11-30,610666666666.6666
2018-12-31,612000000000.0
2019-01-31,612250000000.0
2019-02-28,612500000000.0
2019-03-31,612750000000.0
2019-04-30,613000000000.0
2019-05-31,613250000000.0
2019-06-30,613500000000.0
2019-07-31,613750000000.0
2019-08-31,614000000000.0
2019-09-30,614250000000.0
2019-10-31,614500000000.0
2019-11-30,614750000000.0
2019-12-31,615000000000.0
2020-01-31,620333333333.3334
2020-02-29,625666666666.6666
2020-03-31,631000000000.0
2020-04-30,636333333333.3334
2020-05-31,641666666666.6666
2020-06-30,647000000000.0
2020-07-31,652333333333.3334
2020-08-31,657666666666.6666
2020-09-30,663000000000.0
2020-10-31,668333333333.3334
2020-11-30,673666666666.6666
2020-12-31,679000000000.0
2021-01-31,684083333333.3334
2021-02-28,689166666666.6666
2021-03-31,694250000000.0
2021-04-30,699333333333.3334
2021-05-31,704416666666.6666
2021-06-30,709500000000.0
2021-07-31,714583333333.3334
2021-08-31,719666666666.6666
2021-09-30,724750000000.0
2021-10-31,729833333333.3334
2021-11-30,734916666666.6666
2021-12-31,740000000000.0
2022-01-31,747000000000.0
2022-02-28,754000000000.0
2022-03-31,761000000000.0
2022-04-30,768000000000.0
2022-05-31,775000000000.0
2022-06-30,782000000000.0
2022-07-31,789000000000.0
2022-08-31,796000000000.0
2022-09-30,803000000000.0
2022-10-31,810000000000.0
2022-11-30,817000000000.0
2022-12-31,824000000000.0
